mode	K	L	M	C	n_xi	div_count	resid	n_pos	n_real	max_ratio	argmax_xi	mean_ratio	max_alpha	mean_alpha	n_zeroS	orbit_dev	top5_xi
exhaustive	2	1	1	2	1	2	0	2	2	-1	0	-1	0.000000	0.000000	0	-	-
exhaustive	3	1	5	3	5	0	0	0	0	0.539345	3	0.372678	0.438018	-0.000000	0	-	-
exhaustive	4	1	13	4	13	0	4.1e-16	0	0	0.616341	4	0.396101	0.650900	0.238663	0	-	-
exhaustive	4	2	7	6	7	2	0	2	2	0.365222	5	0.298413	0.437843	0.313221	0	-	-
exhaustive	5	1	29	5	29	0	1.84e-16	0	0	0.611633	4	0.372246	0.694537	0.267821	0	-	-
exhaustive	5	2	23	10	23	0	7.72e-17	0	0	0.533484	8	0.258747	0.727122	0.360208	0	-	-
exhaustive	5	3	5	10	5	0	0	0	0	0.408757	2	0.295095	0.611465	0.435091	0	-	-
exhaustive	6	1	61	6	61	0	2.91e-16	0	0	0.635066	8	0.35354	0.746603	0.339457	0	-	-
exhaustive	6	2	55	15	55	0	0	0	0	0.514462	18	0.199889	0.754571	0.353641	0	-	-
exhaustive	6	3	37	20	37	2	8.88e-16	2	2	0.281798	8	0.154693	0.577211	0.327125	0	-	-
exhaustive	7	2	119	21	119	0	2.39e-16	0	0	0.530627	40	0.178204	0.791857	0.383920	0	-	-
exhaustive	7	3	101	35	101	0	0	0	0	0.377773	67	0.135193	0.726198	0.379317	0	-	-
exhaustive	7	4	47	35	47	0	9.07e-16	0	0	0.318606	7	0.118334	0.678288	0.324237	0	-	-
exhaustive	8	3	229	56	229	0	4.03e-16	0	0	0.434539	76	0.107185	0.792945	0.407991	0	-	-
exhaustive	8	4	175	70	175	2	4.44e-16	2	2	0.237437	97	0.0868935	0.661562	0.378156	0	-	-
exhaustive	8	5	13	56	13	0	1.09e-15	0	0	0.215545	10	0.113936	0.618770	0.440594	0	-	-
exhaustive	9	3	485	84	485	0	4.69e-16	0	0	0.455695	323	0.0858703	0.822622	0.408930	0	-	-
exhaustive	9	4	431	126	431	0	6.59e-17	0	0	0.303226	144	0.0694387	0.753266	0.405794	0	-	-
exhaustive	9	5	269	126	269	0	5.81e-16	0	0	0.283351	259	0.0643896	0.739248	0.388135	0	-	-
exhaustive	10	4	943	210	943	0	6.63e-16	0	0	0.360847	629	0.0526553	0.809373	0.406273	0	-	-
exhaustive	10	5	781	252	781	2	2.66e-15	2	2	0.204834	694	0.0456165	0.713251	0.396761	0	-	-
exhaustive	10	6	295	210	295	0	7.71e-16	0	0	0.284588	142	0.0521232	0.764973	0.401542	0	-	-
exhaustive	11	4	1967	330	1967	0	2.89e-16	0	0	0.395414	656	0.0414893	0.840006	0.412406	0	-	-
exhaustive	11	5	1805	462	1805	0	5.67e-16	0	0	0.260068	602	0.0346701	0.780491	0.411649	0	-	-
exhaustive	11	6	1319	462	1319	0	7.33e-16	0	0	0.260844	342	0.032813	0.780976	0.399756	0	-	-
exhaustive	12	5	3853	792	3853	0	1.77e-16	0	0	0.31258	1284	0.0258048	0.825772	0.414108	0	-	-
exhaustive	12	6	3367	924	3367	2	4.44e-16	2	2	0.200525	1247	0.0233604	0.764697	0.408677	0	-	-
exhaustive	12	7	1909	792	1909	0	8.93e-16	0	0	0.279672	707	0.0257158	0.809105	0.408182	0	-	-
exhaustive	13	6	7463	1716	7463	0	6.7e-16	0	0	0.230195	4975	0.01702	0.802782	0.416233	0	-	-
exhaustive	13	7	6005	1716	6005	0	7.19e-16	0	0	0.244071	4893	0.0168148	0.810641	0.412695	0	-	-
exhaustive	13	8	1631	1287	1631	0	2.51e-15	0	0	0.180509	1235	0.0192873	0.760899	0.404702	0	-	-
exhaustive	14	6	15655	3003	15655	0	1.02e-15	0	0	0.277147	10437	0.0127617	0.839747	0.420256	0	-	-
exhaustive	14	7	14197	3432	14197	2	4.88e-15	2	2	0.200003	5784	0.0118102	0.802304	0.417378	0	-	-
exhaustive	14	8	9823	3003	9823	0	3.7e-16	0	0	0.259278	4002	0.0128099	0.831423	0.416846	0	-	-
exhaustive	15	7	30581	6435	30581	0	1.13e-15	0	0	0.208578	20387	0.00842137	0.821262	0.420847	0	-	-
exhaustive	15	8	26207	6435	26207	0	1.04e-15	0	0	0.231214	7765	0.00841684	0.833011	0.419032	0	-	-
exhaustive	15	9	13085	5005	13085	0	1.67e-15	0	0	0.206204	3877	0.00968138	0.814645	0.416450	0	-	-
exhaustive	16	8	58975	12870	58975	2	1.33e-15	2	2	0.19779	8737	0.00584631	0.828743	0.422575	0	-	-
exhaustive	16	9	45853	11440	45853	0	1.98e-16	0	0	0.242052	39060	0.00623065	0.848194	0.420676	0	-	-
exhaustive	16	10	6487	8008	6487	0	7.85e-15	0	0	0.145626	614	0.00763879	0.785640	0.418025	0	-	-
exhaustive	17	8	124511	24310	124511	0	1.84e-15	0	0	0.192959	41504	0.00416263	0.837079	0.424622	0	-	-
exhaustive	17	9	111389	24310	111389	0	0	0	0	0.22062	8251	0.00416797	0.850345	0.423260	0	-	-
exhaustive	17	10	72023	19448	72023	0	1.26e-15	0	0	0.216223	5335	0.00473872	0.844925	0.422356	0	-	-
exhaustive	18	9	242461	48620	242461	2	4.66e-14	2	2	0.194754	8980	0.00288209	0.848402	0.425758	0	-	-
exhaustive	18	10	203095	43758	203095	0	7.88e-16	0	0	0.228082	7522	0.0030568	0.861689	0.424289	0	-	-
exhaustive	18	11	84997	31824	84997	0	1.46e-15	0	0	0.169605	65759	0.0036339	0.828869	0.423092	0	-	-
exhaustive	19	9	504605	92378	504605	0	2.11e-15	0	0	0.180959	168202	0.00205681	0.850486	0.428180	0	-	-
exhaustive	19	10	465239	92378	465239	0	4.16e-15	0	0	0.211724	224004	0.00205596	0.864219	0.426867	0	-	-
exhaustive	19	11	347141	75582	347141	0	4.19e-16	0	0	0.212671	167142	0.00230661	0.862191	0.426077	0	-	-
exhaustive	20	10	989527	184756	989527	2	1.58e-14	2	2	0.191352	732983	0.00142299	0.863637	0.429049	0	-	-
exhaustive	20	11	871429	167960	871429	0	4.01e-15	0	0	0.216786	225926	0.00150094	0.872930	0.427908	0	-	-
exhaustive	20	12	517135	125970	517135	0	4.73e-15	0	0	0.161858	383063	0.00176319	0.844936	0.427036	0	-	-
exhaustive	21	11	1920005	352716	1920005	0	2.39e-15	0	0	0.204112	1208892	0.00101213	0.875594	0.429948	0	-	-
exhaustive	21	12	1565711	293930	1565711	0	5.84e-15	0	0	0.206011	985818	0.0011215	0.874528	0.429133	0	-	-
exhaustive	21	13	502829	203490	502829	0	7.64e-15	0	0	0.15783	202787	0.00137218	0.848959	0.428211	0	-	-
exhaustive	22	11	4017157	705432	4017157	2	3.91e-14	2	2	0.187839	3273239	0.000701469	0.875828	0.431743	0	-	-
exhaustive	22	12	3662863	646646	3662863	0	9.53e-16	0	0	0.207435	678308	0.000736179	0.882437	0.430890	0	-	-
exhaustive	22	13	2599981	497420	2599981	0	4.79e-15	0	0	0.173924	2118503	0.00085318	0.866653	0.430128	0	-	-
